item_num,DWA_ID,claude_vote,gemini_vote,gpt_vote,final_choice,status
1,4.A.1.b.1.I02.D02,D,C,D,D,2/3 consensus
2,4.A.2.b.5.I02.D04,A,A,D,A,2/3 consensus
3,4.A.3.a.1.I07.D08,A,A,D,A,2/3 consensus
4,4.A.3.b.1.I06.D10,C,C,D,C,2/3 consensus
5,4.A.1.a.1.I08.D03,A,C,C,C,2/3 consensus
6,4.A.4.c.2.I02.D03,D,A,D,D,2/3 consensus
7,4.A.2.a.2.I02.D03,A,B,B,B,2/3 consensus
8,4.A.3.a.1.I06.D08,D,C,C,C,2/3 consensus
9,4.A.1.b.2.I06.D17,A,A,D,A,2/3 consensus
10,4.A.2.a.4.I07.D16,C,B,B,B,2/3 consensus
11,4.A.4.b.4.I09.D09,A,A,D,A,2/3 consensus
12,4.A.4.b.6.I11.D03,B,B,C,B,2/3 consensus
13,4.A.3.a.4.I01.D05,A,C,C,C,2/3 consensus
14,4.A.3.b.6.I11.D05,C,B,C,C,2/3 consensus
15,4.A.1.a.2.I01.D06,C,A,B,CONFLICT,1:1:1 conflict -- needs human review
16,4.A.3.a.2.I17.D01,C,C,D,C,2/3 consensus
17,4.A.3.a.1.I11.D07,A,A,A,A,3/3 consensus
18,4.A.3.a.3.I04.D05,C,C,D,C,2/3 consensus
19,4.A.4.b.6.I03.D03,C,C,C,C,3/3 consensus
20,4.A.3.a.2.I09.D04,C,B,D,CONFLICT,1:1:1 conflict -- needs human review
21,4.A.4.b.4.I01.D13,C,B,D,CONFLICT,1:1:1 conflict -- needs human review
22,4.A.3.b.4.I01.D01,A,A,C,A,2/3 consensus
23,4.A.4.a.6.I02.D01,A,A,D,A,2/3 consensus
24,4.A.3.a.1.I09.D01,A,A,A,A,3/3 consensus
25,4.A.4.b.4.I03.D03,A,A,D,A,2/3 consensus
26,4.A.2.b.2.I07.D05,C,D,D,D,2/3 consensus
27,4.A.3.a.3.I12.D04,C,C,D,C,2/3 consensus
28,4.A.3.a.1.I03.D11,C,C,C,C,3/3 consensus
29,4.A.2.b.2.I16.D02,A,D,D,D,2/3 consensus
30,4.A.3.a.2.I03.D07,B,B,D,B,2/3 consensus
31,4.A.3.a.3.I03.D07,A,C,C,C,2/3 consensus
32,4.A.2.a.1.I02.D04,C,C,D,C,2/3 consensus
33,4.A.1.b.2.I06.D01,C,C,D,C,2/3 consensus
34,4.A.3.a.2.I04.D09,B,D,D,D,2/3 consensus
35,4.A.4.b.3.I02.D08,D,D,C,D,2/3 consensus
36,4.A.4.a.5.I03.D01,A,B,D,CONFLICT,1:1:1 conflict -- needs human review
37,4.A.1.a.2.I05.D04,A,C,C,C,2/3 consensus
38,4.A.2.a.4.I05.D01,A,B,D,CONFLICT,1:1:1 conflict -- needs human review
39,4.A.2.a.3.I03.D05,B,B,B,B,3/3 consensus
40,4.A.4.a.2.I03.D17,C,C,D,C,2/3 consensus
41,4.A.2.b.2.I05.D03,D,D,D,D,3/3 consensus
42,4.A.3.a.3.I07.D02,C,C,D,C,2/3 consensus
43,4.A.1.b.2.I12.D02,A,A,D,A,2/3 consensus
44,4.A.1.a.2.I07.D08,C,A,C,C,2/3 consensus
45,4.A.3.a.2.I41.D08,D,D,D,D,3/3 consensus
46,4.A.2.b.2.I14.D04,B,B,D,B,2/3 consensus
47,4.A.2.b.3.I01.D22,D,B,D,D,2/3 consensus
48,4.A.1.b.2.I07.D18,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
49,4.A.2.b.2.I18.D04,C,A,C,C,2/3 consensus
50,4.A.1.a.2.I01.D10,D,D,D,D,3/3 consensus
51,4.A.3.a.1.I10.D01,C,C,A,C,2/3 consensus
52,4.A.3.a.2.I23.D01,D,D,D,D,3/3 consensus
53,4.A.1.a.2.I06.D07,C,C,C,C,3/3 consensus
54,4.A.3.a.1.I12.D06,D,D,D,D,3/3 consensus
55,4.A.1.b.2.I05.D02,C,C,D,C,2/3 consensus
56,4.A.2.a.3.I01.D02,D,C,D,D,2/3 consensus
57,4.A.3.a.1.I03.D02,A,D,D,D,2/3 consensus
58,4.A.1.a.1.I20.D01,D,D,D,D,3/3 consensus
59,4.A.3.a.2.I05.D02,D,D,D,D,3/3 consensus
60,4.A.2.b.2.I18.D12,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
61,4.A.4.a.5.I04.D01,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
62,4.A.4.a.2.I08.D07,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
63,4.A.1.b.2.I01.D08,D,D,D,D,3/3 consensus
64,4.A.4.b.4.I01.D19,A,A,A,A,3/3 consensus
65,4.A.3.b.4.I04.D07,A,A,D,A,2/3 consensus
66,4.A.2.a.4.I10.D03,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
67,4.A.1.b.3.I05.D01,A,A,A,A,3/3 consensus
68,4.A.1.a.1.I02.D02,D,C,C,C,2/3 consensus
69,4.A.4.a.2.I08.D02,C,C,D,C,2/3 consensus
70,4.A.4.c.3.I03.D08,C,C,D,C,2/3 consensus
71,4.A.4.b.3.I04.D10,D,C,D,D,2/3 consensus
72,4.A.2.b.1.I11.D02,D,A,D,D,2/3 consensus
73,4.A.3.b.1.I06.D07,A,D,D,D,2/3 consensus
74,4.A.1.b.1.I01.D01,D,A,A,A,2/3 consensus
75,4.A.3.b.6.I15.D02,D,D,D,D,3/3 consensus
76,4.A.4.b.4.I09.D01,C,C,C,C,3/3 consensus
77,4.A.4.c.1.I01.D10,A,A,D,A,2/3 consensus
78,4.A.4.a.5.I03.D02,A,A,D,A,2/3 consensus
79,4.A.4.a.5.I11.D03,A,C,A,A,2/3 consensus
80,4.A.2.a.1.I02.D07,D,D,D,D,3/3 consensus
81,4.A.3.b.6.I05.D03,D,A,D,D,2/3 consensus
82,4.A.3.a.3.I07.D03,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
83,4.A.3.a.2.I14.D02,D,A,D,D,2/3 consensus
84,4.A.2.a.1.I03.D04,A,B,D,CONFLICT,1:1:1 conflict -- needs human review
85,4.A.4.a.5.I07.D03,D,C,A,CONFLICT,1:1:1 conflict -- needs human review
86,4.A.4.c.1.I03.D04,D,D,D,D,3/3 consensus
87,4.A.4.b.4.I01.D17,A,A,D,A,2/3 consensus
88,4.A.3.a.2.I09.D13,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
89,4.A.4.b.4.I11.D01,D,A,D,D,2/3 consensus
90,4.A.2.a.4.I07.D05,D,A,D,D,2/3 consensus
91,4.A.2.b.1.I08.D11,C,D,D,D,2/3 consensus
92,4.A.1.b.3.I01.D11,D,A,A,A,2/3 consensus
93,4.A.3.a.2.I20.D05,D,A,D,D,2/3 consensus
94,4.A.3.a.2.I20.D01,D,D,C,D,2/3 consensus
95,4.A.4.b.6.I06.D05,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
96,4.A.3.a.2.I47.D02,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
97,4.A.1.b.2.I07.D14,C,B,D,CONFLICT,1:1:1 conflict -- needs human review
98,4.A.1.a.2.I08.D01,C,C,C,C,3/3 consensus
99,4.A.1.a.2.I09.D01,A,A,D,A,2/3 consensus
100,4.A.4.a.2.I01.D01,D,D,D,D,3/3 consensus
101,4.A.3.a.3.I07.D05,D,A,D,D,2/3 consensus
102,4.A.2.b.2.I18.D21,A,C,C,C,2/3 consensus
103,4.A.1.a.2.I01.D09,C,C,D,C,2/3 consensus
104,4.A.3.b.6.I12.D02,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
105,4.A.3.b.6.I08.D27,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
106,4.A.2.a.4.I10.D02,D,A,D,D,2/3 consensus
107,4.A.2.b.2.I21.D01,D,B,D,D,2/3 consensus
108,4.A.2.a.1.I04.D02,D,A,D,D,2/3 consensus
109,4.A.3.b.4.I02.D15,D,A,D,D,2/3 consensus
110,4.A.3.a.3.I12.D02,D,A,D,D,2/3 consensus
111,4.A.4.b.6.I06.D03,C,D,D,D,2/3 consensus
112,4.A.1.b.2.I07.D17,C,D,D,D,2/3 consensus
113,4.A.4.c.1.I03.D01,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
114,4.A.3.b.6.I08.D26,D,A,D,D,2/3 consensus
115,4.A.4.b.3.I04.D02,C,C,D,C,2/3 consensus
116,4.A.1.a.1.I02.D14,C,C,D,C,2/3 consensus
117,4.A.3.a.2.I41.D05,C,C,B,C,2/3 consensus
118,4.A.3.a.4.I01.D07,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
119,4.A.4.c.3.I06.D03,C,C,D,C,2/3 consensus
120,4.A.2.b.1.I01.D04,C,C,D,C,2/3 consensus
121,4.A.3.a.2.I35.D06,D,C,D,D,2/3 consensus
122,4.A.1.b.2.I02.D02,A,A,D,A,2/3 consensus
123,4.A.1.a.2.I11.D08,C,C,D,C,2/3 consensus
124,4.A.3.b.6.I11.D04,D,D,D,D,3/3 consensus
125,4.A.1.a.2.I09.D03,A,B,C,CONFLICT,1:1:1 conflict -- needs human review
126,4.A.3.a.1.I11.D03,D,D,D,D,3/3 consensus
127,4.A.4.b.6.I01.D02,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
128,4.A.2.b.2.I08.D04,C,C,C,C,3/3 consensus
129,4.A.2.b.2.I05.D04,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
130,4.A.2.a.2.I02.D01,C,C,D,C,2/3 consensus
131,4.A.4.c.1.I03.D08,D,C,D,D,2/3 consensus
132,4.A.3.a.2.I06.D03,C,D,D,D,2/3 consensus
133,4.A.4.a.5.I11.D08,A,A,A,A,3/3 consensus
134,4.A.4.b.3.I04.D14,C,C,A,C,2/3 consensus
135,4.A.1.a.2.I02.D11,C,C,C,C,3/3 consensus
136,4.A.3.a.3.I09.D03,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
137,4.A.1.a.1.I02.D09,B,A,B,B,2/3 consensus
138,4.A.4.a.5.I07.D02,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
139,4.A.4.a.5.I10.D02,A,A,D,A,2/3 consensus
140,4.A.3.a.2.I34.D01,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
141,4.A.4.a.5.I10.D03,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
142,4.A.3.a.2.I36.D04,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
143,4.A.3.a.2.I12.D03,A,A,D,A,2/3 consensus
144,4.A.2.a.2.I04.D01,A,A,D,A,2/3 consensus
145,4.A.3.b.6.I05.D01,C,C,D,C,2/3 consensus
146,4.A.2.a.2.I01.D03,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
147,4.A.3.b.6.I08.D24,A,C,A,A,2/3 consensus
148,4.A.3.a.2.I22.D08,D,C,D,D,2/3 consensus
149,4.A.2.a.4.I05.D05,C,B,D,CONFLICT,1:1:1 conflict -- needs human review
150,4.A.1.b.2.I05.D07,C,D,D,D,2/3 consensus
151,4.A.3.a.1.I17.D05,C,C,C,C,3/3 consensus
152,4.A.2.a.1.I04.D03,C,C,D,C,2/3 consensus
153,4.A.4.c.3.I06.D01,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
154,4.A.4.c.1.I03.D10,D,D,D,D,3/3 consensus
155,4.A.2.b.2.I27.D02,C,C,D,C,2/3 consensus
156,4.A.4.a.5.I03.D04,D,D,D,D,3/3 consensus
157,4.A.4.a.5.I12.D06,D,C,D,D,2/3 consensus
158,4.A.3.a.2.I32.D01,C,A,C,C,2/3 consensus
159,4.A.3.b.4.I02.D08,A,A,D,A,2/3 consensus
160,4.A.2.a.4.I06.D02,C,C,D,C,2/3 consensus
161,4.A.1.b.2.I03.D01,B,A,C,CONFLICT,1:1:1 conflict -- needs human review
162,4.A.1.b.1.I02.D01,C,D,D,D,2/3 consensus
163,4.A.3.b.6.I13.D05,C,C,D,C,2/3 consensus
164,4.A.1.b.3.I04.D03,A,A,C,A,2/3 consensus
165,4.A.2.b.1.I10.D01,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
166,4.A.1.b.2.I06.D04,B,A,A,A,2/3 consensus
167,4.A.2.b.1.I08.D03,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
168,4.A.2.b.2.I26.D01,A,A,D,A,2/3 consensus
169,4.A.1.a.1.I02.D05,C,C,B,C,2/3 consensus
170,4.A.3.b.6.I11.D03,D,D,B,D,2/3 consensus
171,4.A.1.b.3.I04.D01,C,C,D,C,2/3 consensus
172,4.A.3.b.4.I02.D11,C,C,C,C,3/3 consensus
173,4.A.4.c.3.I05.D05,A,D,D,D,2/3 consensus
174,4.A.4.b.4.I07.D04,B,C,B,B,2/3 consensus
175,4.A.2.b.1.I06.D01,D,D,D,D,3/3 consensus
176,4.A.2.a.2.I01.D09,D,D,D,D,3/3 consensus
177,4.A.3.a.2.I38.D05,C,C,D,C,2/3 consensus
178,4.A.3.a.1.I01.D05,D,A,C,CONFLICT,1:1:1 conflict -- needs human review
179,4.A.3.a.1.I12.D01,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
180,4.A.3.a.2.I07.D01,B,A,A,A,2/3 consensus
181,4.A.2.b.2.I16.D08,C,C,C,C,3/3 consensus
182,4.A.1.a.2.I07.D03,D,A,A,A,2/3 consensus
183,4.A.2.b.2.I16.D01,A,D,D,D,2/3 consensus
184,4.A.3.b.6.I08.D06,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
185,4.A.4.b.4.I15.D02,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
186,4.A.2.a.2.I02.D05,D,B,D,D,2/3 consensus
187,4.A.3.b.4.I08.D04,B,D,D,D,2/3 consensus
188,4.A.4.b.3.I04.D04,D,C,A,CONFLICT,1:1:1 conflict -- needs human review
189,4.A.4.a.5.I03.D05,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
190,4.A.2.a.1.I08.D01,A,D,D,D,2/3 consensus
191,4.A.4.a.3.I03.D06,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
192,4.A.3.a.2.I47.D04,A,A,D,A,2/3 consensus
193,4.A.3.b.6.I08.D02,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
194,4.A.1.b.2.I07.D03,C,B,D,CONFLICT,1:1:1 conflict -- needs human review
195,4.A.3.b.1.I03.D02,D,A,D,D,2/3 consensus
196,4.A.3.b.4.I02.D02,C,C,D,C,2/3 consensus
197,4.A.4.a.5.I06.D01,A,A,D,A,2/3 consensus
198,4.A.4.b.3.I02.D10,C,B,D,CONFLICT,1:1:1 conflict -- needs human review
199,4.A.3.b.6.I02.D07,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
200,4.A.3.b.4.I02.D17,A,D,D,D,2/3 consensus
201,4.A.3.a.1.I06.D12,D,D,D,D,3/3 consensus
202,4.A.4.a.5.I10.D04,C,C,D,C,2/3 consensus
203,4.A.3.b.6.I08.D14,A,C,B,CONFLICT,1:1:1 conflict -- needs human review
204,4.A.2.b.3.I01.D02,C,C,C,C,3/3 consensus
205,4.A.3.b.1.I04.D01,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
206,4.A.4.c.2.I01.D08,B,C,D,CONFLICT,1:1:1 conflict -- needs human review
207,4.A.2.a.2.I05.D05,D,D,D,D,3/3 consensus
208,4.A.2.b.1.I04.D12,A,A,A,A,3/3 consensus
209,4.A.3.a.2.I04.D14,D,C,D,D,2/3 consensus
210,4.A.2.a.1.I07.D04,C,C,D,C,2/3 consensus
211,4.A.4.a.2.I11.D08,D,D,D,D,3/3 consensus
212,4.A.1.a.2.I05.D05,D,A,D,D,2/3 consensus
213,4.A.3.a.2.I22.D11,D,A,C,CONFLICT,1:1:1 conflict -- needs human review
214,4.A.2.b.2.I15.D10,D,C,D,D,2/3 consensus
215,4.A.3.a.2.I42.D02,D,C,D,D,2/3 consensus
216,4.A.3.a.1.I06.D02,A,A,D,A,2/3 consensus
217,4.A.2.a.1.I07.D05,C,C,C,C,3/3 consensus
218,4.A.3.a.2.I09.D08,A,A,D,A,2/3 consensus
219,4.A.1.a.2.I03.D06,C,C,C,C,3/3 consensus
220,4.A.3.a.2.I37.D03,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
221,4.A.2.b.2.I06.D04,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
222,4.A.3.b.6.I14.D02,C,D,D,D,2/3 consensus
223,4.A.2.b.2.I18.D01,C,D,D,D,2/3 consensus
224,4.A.2.b.4.I03.D10,C,D,D,D,2/3 consensus
225,4.A.4.a.6.I03.D08,C,C,C,C,3/3 consensus
226,4.A.3.a.3.I03.D06,C,C,B,C,2/3 consensus
227,4.A.3.a.2.I27.D01,C,C,D,C,2/3 consensus
228,4.A.4.b.6.I06.D01,D,C,C,C,2/3 consensus
229,4.A.4.b.6.I05.D08,D,D,D,D,3/3 consensus
230,4.A.3.a.2.I36.D07,D,D,D,D,3/3 consensus
231,4.A.2.b.6.I02.D06,A,C,D,CONFLICT,1:1:1 conflict -- needs human review
232,4.A.4.a.5.I09.D02,A,D,D,D,2/3 consensus
233,4.A.3.a.2.I01.D06,D,C,D,D,2/3 consensus
234,4.A.2.b.1.I01.D03,A,A,D,A,2/3 consensus
235,4.A.3.b.1.I06.D06,C,D,A,CONFLICT,1:1:1 conflict -- needs human review
236,4.A.4.a.2.I05.D04,C,C,D,C,2/3 consensus
237,4.A.1.b.2.I04.D03,A,A,D,A,2/3 consensus
238,4.A.4.a.5.I09.D03,D,D,D,D,3/3 consensus
239,4.A.3.a.3.I05.D05,B,A,D,CONFLICT,1:1:1 conflict -- needs human review
240,4.A.4.b.4.I12.D15,D,A,D,D,2/3 consensus
241,4.A.4.a.6.I03.D01,C,C,C,C,3/3 consensus
242,4.A.3.a.2.I13.D10,A,A,D,A,2/3 consensus
243,4.A.4.a.5.I01.D05,C,C,D,C,2/3 consensus
244,4.A.2.b.1.I10.D04,C,C,C,C,3/3 consensus
245,4.A.2.a.1.I05.D03,C,C,C,C,3/3 consensus
246,4.A.1.b.3.I03.D04,C,C,C,C,3/3 consensus
247,4.A.2.a.1.I07.D09,C,A,D,CONFLICT,1:1:1 conflict -- needs human review
248,4.A.3.b.1.I04.D02,D,A,D,D,2/3 consensus
249,4.A.4.a.5.I01.D06,A,A,A,A,3/3 consensus
